id,name,type,program_id
366713,20.Б01-Б,очная,13411
366715,20.Б02-Б,очная,13411
366716,20.Б03-Б,очная,13411
366717,20.Б04-Б,очная,13411
366711,20.Б05-Б,очная,13411
366712,20.Б06-Б,очная,13411
366718,20.Б07-Б,очная,13411
366714,20.Б08-Б,очная,13411
365823,22.Б13-Б,очная,13271
365824,22.Б14-Б,очная,13271
365583,21.Б09-Б,очная,14245
366818,20.Б09-Б,очная,13269
366819,20.Б11-Б,очная,13269
366965,22.М02-Б,очная,13270
367141,22.М03-Б,очная,14249
366444,22.М05-Б,очная,14250
367306,22.М01-Б,очная,13398
365960,22.М04-Б,очная,14295
366211,21.А01-Б,очная,13419
365528,20.А01-Б,очная,14297
366248,21.А03-Б,очная,13421
366249,20.А03-Б,очная,13446
366823,21.А02-Б,очная,13402
366403,20.А02-Б,очная,14312
366563,21.А04-Б,очная,14247
366032,22.Б26-в,очная,13269
366655,20.Б26-в,очная,14246
366837,21.Б59-в,очная,13270
365714,21.Б38-в,очная,13273
367002,22.Б60-в,очная,12195
366727,20.Б60-в,очная,14250
366260,20.Б03-в,очная,14300
366098,22.Б29-в,очная,14294
389016,19.Б29-в,очная,13398
367226,21.Б29-в,очная,14295
366066,20.Б32-в,очная,13418
367139,22.Б28-в,очная,14296
367111,20.Б28-в,очная,13419
367344,21.Б05-в,очная,14297
365761,21.Б01-в,очная,14298
389184,20.Б17-в,очная,13446
367398,20.Б21-в,очная,14316
366652,21.Б03-в,очная,13415
366449,21.Б06-в,очная,14312
365880,22.Б06-в,очная,13411
365465,20.Б06-в,очная,13406
367452,22.Б12-в,очная,14247
367451,22.Б13-в,очная,14247
365545,20.Б12-в,очная,13271
365546,20.Б13-в,очная,13271
367269,22.Б10-в,очная,14245
366728,21.Б19-в,очная,14246
366958,21.Б16-в,очная,13270
366721,21.Б02-в,очная,12213
366950,21.Б07-в,очная,12197
367437,21.Б08-в,очная,14249
365777,22.Б14-в,очная,12195
365776,22.Б15-в,очная,12195
365997,20.Б14-в,очная,14250
365996,20.Б15-в,очная,14250
367470,21.Б40-в,очная,14300
367469,21.Б41-в,очная,14300
389017,19.Б40-в,очная,14294
367584,20.Б42-в,очная,13398
367116,22.Б34-в,очная,13418
365512,20.Б34-в,очная,14297
366453,22.Б33-в,очная,13420
367062,20.Б33-в,очная,14298
366196,20.Б50-в,очная,13421
366693,22.Б51-в,очная,14316
366335,21.Б51-в,очная,13415
365757,22.Б61-в,очная,13402
365749,21.Б44-в,очная,14312
365748,21.Б45-в,очная,14312
367407,22.М16-в,очная,13421
365510,22.М04-в,очная,13415
366747,22.М03-в,очная,13411
365641,22.М02-в,очная,13271
367000,22.М06-в,очная,14246
365753,22.М05-в,очная,12197
367115,22.М28-в,очная,13273
367471,22.М11-в,очная,14300
365828,22.М07-в,очная,13398
367020,22.М01-в,очная,14296
366851,21.А03-в,очная,13420
367146,21.А02-в,очная,13446
367153,21.А01-в,очная,13415
366858,22.Б07-вшж,очная,13411
366856,22.Б08-вшж,очная,13411
366857,22.Б09-вшж,очная,13411
366859,22.Б10-вшж,очная,13411
366855,22.Б11-вшж,очная,13411
366860,22.Б12-вшж,очная,13411
367462,22.Б13-вшж,очно-заочная,13411
367463,22.Б14-вшж,очно-заочная,13411
366687,21.Б07-вшж,очная,13406
366688,21.Б08-вшж,очная,13406
366692,21.Б09-вшж,очная,13406
366690,21.Б10-вшж,очная,13406
366689,21.Б11-вшж,очная,13406
366691,21.Б12-вшж,очная,13406
366592,21.Б13-вшж,очно-заочная,13406
366593,21.Б14-вшж,очно-заочная,13406
366876,20.Б07-вшж,очная,14247
366877,20.Б08-вшж,очная,14247
366875,20.Б09-вшж,очная,14247
366874,20.Б10-вшж,очная,14247
366869,20.Б11-вшж,очная,14247
366873,20.Б12-вшж,очная,14247
367040,20.Б13-вшж,очно-заочная,14247
367039,20.Б14-вшж,очно-заочная,14247
365717,19.Б09-вшж,очно-заочная,13271
365718,19.Б10-вшж,очно-заочная,13271
365435,22.Б01-вшж,очная,13269
365436,22.Б02-вшж,очная,13269
365433,22.Б03-вшж,очная,13269
365434,22.Б04-вшж,очная,13269
366185,21.Б01-вшж,очная,14246
366187,21.Б02-вшж,очная,14246
366184,21.Б03-вшж,очная,14246
366183,21.Б04-вшж,очная,14246
366186,21.Б05-вшж,очная,14246
365820,20.Б01-вшж,очная,13270
365816,20.Б02-вшж,очная,13270
365818,20.Б03-вшж,очная,13270
365821,20.Б04-вшж,очная,13270
365819,20.Б05-вшж,очная,13270
365817,20.Б06-вшж,очная,13270
366102,22.Б15-вшж,очная,14249
366100,22.Б16-вшж,очная,14249
366101,22.Б17-вшж,очная,14249
366759,21.Б15-вшж,очная,13273
366757,21.Б16-вшж,очная,13273
366758,21.Б17-вшж,очная,13273
367041,20.Б15-вшж,очная,12195
