id,start_time,end_time,description,location
984,2023-08-16 10:00:00,2023-08-16 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
985,2023-08-17 10:00:00,2023-08-17 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
986,2023-08-17 10:00:00,2023-08-17 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
706,2023-08-10 09:00:00,2023-08-10 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
707,2023-08-10 10:40:00,2023-08-10 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
708,2023-08-11 09:00:00,2023-08-11 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
709,2023-08-11 10:40:00,2023-08-11 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
710,2023-08-17 09:00:00,2023-08-17 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
711,2023-08-17 10:40:00,2023-08-17 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
191,2023-08-09 11:45:00,2023-08-09 14:45:00,"Реконструктивная урогинекология, практическое занятие","набережная реки Фонтанки, д. 154, лит. А, 447"
712,2023-08-18 09:00:00,2023-08-18 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
713,2023-08-18 10:40:00,2023-08-18 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
714,2023-08-24 09:00:00,2023-08-24 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
715,2023-08-24 10:40:00,2023-08-24 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
716,2023-08-25 09:00:00,2023-08-25 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
717,2023-08-25 10:40:00,2023-08-25 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
718,2023-08-31 09:00:00,2023-08-31 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
199,2023-08-09 09:00:00,2023-08-09 10:15:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 406"
200,2023-08-09 10:30:00,2023-08-09 11:30:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 408"
201,2023-08-09 12:20:00,2023-08-09 13:50:00,"Русский язык как иностранный A2-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
202,2023-08-09 14:00:00,2023-08-09 15:30:00,"Русский язык как иностранный A2-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
719,2023-08-31 10:40:00,2023-08-31 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
988,2023-08-17 10:00:00,2023-08-17 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
989,2023-08-18 10:00:00,2023-08-18 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
